name,code,voice,model
Albanian,sq,,
Arabic,ar,,vosk-model-ar-mgb2-0.4
Azerbaijani,az,,
Bengali,bn,,
Bulgarian,bg,,
Catalan,ca,,vosk-model-small-ca-0.4
Chinese,zh,cmn_jing_li,vosk-model-small-cn-0.22
Czech,cs,,vosk-model-small-cs-0.4-rhasspy
Danish,da,,
Dutch,nl,nl_rdh,vosk-model-small-nl-0.22
English,en,en-us_mary_ann,vosk-model-small-en-us-0.15
Esperanto,eo,,vosk-model-small-eo-0.42
Estonian,et,,
Finnish,fi,fi_harri_tapani_ylilammi,
French,fr,fr_siwis,vosk-model-small-fr-0.22
German,de,de_thorsten,vosk-model-small-de-0.15
Greek,el,el_rapunzelina,vosk-model-el-gr-0.7
Hebrew,he,,
Hindi,hi,,vosk-model-small-hi-0.22
Hungarian,hu,hu_diana_majlinger,
Indonesian,id,,
Irish,ga,,
Italian,it,it_riccardo_fasol,vosk-model-small-it-0.22
Japanese,ja,,vosk-model-small-ja-0.22
Korean,ko,ko_kss,vosk-model-small-ko-0.22
Latvian,lv,,
Lithuanian,lt,,
Malay,ms,,
Norwegian,nb,,
Persian,fa,,vosk-model-small-fa-0.5
Polish,pl,,vosk-model-small-pl-0.22
Portuguese,pt,,vosk-model-small-pt-0.3
Romanian,ro,,
Russian,ru,ru_nikolaev,vosk-model-small-ru-0.22
Slovak,sk,,
Slovenian,sl,,
Spanish,es,es_tux,vosk-model-small-es-0.42
Swedish,sv,sv_talesyntese,vosk-model-small-sv-rhasspy-0.15
Tagalog,tl,,
Thai,th,,
Turkish,tr,,vosk-model-small-tr-0.3
Ukranian,uk,,vosk-model-small-uk-v3-small
Urdu,ur,,
